age,sleep_hours,tasks_planned,tasks_completed,focus_hours,stress_level,motivation_level,task_interest,self_control,routine_consistency,peak_productivity_time,screen_time_minutes,procrastination_score
19,5.3,5,3,7.9,2,5,4.0,5.0,No,Morning,89,0
29,8.6,6,5,5.2,3,1,3.0,4.0,Yes,Morning,90,0
31,7.0,7,5,5.6,1,5,4.0,4.0,Yes,Morning,95,0
30,5.0,5,3,5.7,1,5,4.0,4.0,No,Morning,163,0
23,5.5,3,2,6.5,5,4,3.0,4.0,No,Morning,90,0
29,6.4,6,5,6.2,4,4,4.0,5.0,Yes,Morning,164,0
38,8.9,7,6,5.2,3,2,3.0,5.0,Yes,Morning,81,0
40,7.2,7,5,7.9,1,2,3.0,5.0,Yes,Morning,80,0
23,5.5,6,5,6.9,5,5,4.0,5.0,No,Morning,167,0
36,5.6,4,3,5.3,5,5,4.0,4.0,No,Morning,151,0
31,7.2,7,5,6.4,5,2,3.0,5.0,Yes,Morning,165,0
28,6.5,3,2,6.8,3,2,2.0,5.0,Yes,Morning,90,0
33,6.8,6,4,5.7,5,3,3.0,4.0,Yes,Morning,92,0
30,7.3,3,2,7.7,5,1,2.0,5.0,Yes,Morning,174,0
36,6.1,7,5,7.5,4,2,3.0,5.0,Yes,Morning,76,0
39,5.1,4,3,6.3,5,2,3.0,4.0,No,Morning,164,0
40,7.7,3,2,5.9,5,3,3.0,4.0,Yes,Morning,133,0
28,6.7,7,5,5.1,4,2,3.0,4.0,Yes,Morning,162,0
24,8.3,3,2,6.8,4,3,3.0,4.0,Yes,Morning,148,0
30,8.2,5,4,5.4,3,4,4.0,4.0,Yes,Morning,86,0
28,7.2,5,4,7.1,2,1,2.0,5.0,Yes,Morning,148,0
16,7.3,6,4,5.2,3,2,3.0,4.0,Yes,Morning,65,0
40,6.3,6,5,6.2,4,1,3.0,5.0,Yes,Morning,132,0
22,8.5,7,6,6.2,2,1,3.0,5.0,Yes,Morning,143,0
24,7.4,3,2,6.1,1,3,3.0,4.0,Yes,Morning,123,0
39,8.8,4,3,5.9,1,1,2.0,4.0,Yes,Morning,153,0
16,5.1,3,2,7.3,5,2,2.0,5.0,No,Morning,90,0
27,5.5,5,4,7.9,4,5,4.0,5.0,No,Morning,160,0
23,6.6,7,5,5.2,3,2,3.0,4.0,Yes,Morning,119,0
39,7.7,7,5,6.6,2,3,3.0,5.0,Yes,Morning,62,0
26,7.3,5,4,7.5,2,3,3.0,5.0,Yes,Morning,113,0
34,6.8,7,6,5.1,5,2,3.0,4.0,Yes,Morning,171,0
32,6.4,3,2,6.9,1,4,3.0,4.0,Yes,Morning,141,0
23,6.5,7,5,7.9,4,4,3.0,5.0,Yes,Morning,134,0
18,8.8,6,5,5.5,1,1,3.0,4.0,Yes,Morning,166,0
18,6.1,6,5,5.8,5,4,4.0,5.0,Yes,Morning,99,0
16,6.5,6,5,7.0,4,1,3.0,5.0,Yes,Morning,68,0
20,7.2,4,3,7.9,5,2,3.0,5.0,Yes,Morning,127,0
25,6.7,5,4,6.5,2,5,4.0,5.0,Yes,Morning,94,0
22,6.0,5,3,7.0,5,1,2.0,5.0,No,Morning,142,0
24,8.0,4,3,7.3,5,4,3.0,5.0,Yes,Morning,174,0
22,6.9,6,4,5.7,5,5,4.0,4.0,Yes,Morning,121,0
24,7.6,4,3,6.0,5,3,3.0,4.0,Yes,Morning,130,0
23,6.3,6,5,6.0,2,5,4.0,5.0,Yes,Morning,75,0
27,7.3,6,5,7.1,4,1,3.0,5.0,Yes,Morning,111,0
17,6.3,6,4,6.3,2,1,2.0,5.0,Yes,Morning,64,0
16,8.9,5,4,5.7,3,4,4.0,4.0,Yes,Morning,140,0
31,5.1,6,4,5.2,2,4,3.0,4.0,No,Morning,122,0
38,6.4,3,2,5.6,3,1,2.0,4.0,Yes,Morning,148,0
38,6.8,7,6,5.2,3,1,3.0,5.0,Yes,Morning,80,0
39,5.3,3,2,7.4,4,3,3.0,5.0,No,Morning,139,0
20,6.7,4,3,7.3,2,5,4.0,5.0,Yes,Morning,68,0
18,5.7,5,4,7.8,5,3,3.0,5.0,No,Morning,150,0
27,7.3,5,4,6.0,4,3,3.0,5.0,Yes,Morning,121,0
23,6.9,4,3,7.1,4,5,4.0,5.0,Yes,Morning,69,0
37,6.4,4,3,7.7,3,1,2.0,5.0,Yes,Morning,108,0
18,5.0,3,2,5.4,4,2,2.0,4.0,No,Morning,95,0
16,6.3,6,4,7.6,4,1,2.0,5.0,Yes,Morning,122,0
18,7.9,6,5,6.5,4,3,3.0,5.0,Yes,Morning,73,0
20,7.2,5,4,7.1,3,4,4.0,5.0,Yes,Morning,155,0
30,6.1,3,2,5.2,2,4,3.0,4.0,Yes,Morning,67,0
29,6.0,3,2,5.9,3,2,2.0,4.0,Yes,Morning,178,0
18,7.2,7,6,7.2,4,2,3.0,5.0,Yes,Morning,103,0
16,7.1,7,5,6.6,2,5,4.0,5.0,Yes,Morning,82,0
20,5.4,6,4,5.5,3,4,3.0,4.0,No,Morning,111,0
38,6.3,7,6,7.1,2,5,4.0,5.0,Yes,Morning,101,0
29,5.0,7,6,6.5,2,5,4.0,5.0,No,Morning,111,0
22,5.7,4,3,6.4,2,4,3.0,5.0,No,Morning,123,0
24,7.5,7,5,6.8,3,1,2.0,5.0,Yes,Morning,132,0
30,5.1,4,2,6.7,4,2,2.0,4.0,No,Morning,134,0
30,7.0,6,4,6.3,4,5,4.0,4.0,Yes,Morning,178,0
25,7.7,3,2,7.0,1,5,4.0,5.0,Yes,Morning,131,0
28,9.0,7,6,7.6,4,5,4.0,5.0,Yes,Morning,167,0
34,6.3,3,2,7.9,2,2,2.0,5.0,Yes,Morning,162,0
22,7.9,6,4,6.3,1,3,3.0,4.0,Yes,Morning,131,0
32,7.7,6,5,5.7,1,2,3.0,5.0,Yes,Morning,81,0
35,6.6,7,6,6.3,5,1,3.0,5.0,Yes,Morning,137,0
19,6.1,5,3,7.0,2,3,3.0,4.0,Yes,Morning,175,0
20,6.6,4,2,7.1,5,2,2.0,5.0,Yes,Morning,60,0
38,6.3,4,2,5.2,1,3,2.0,4.0,Yes,Morning,74,0
22,9.0,4,3,5.1,4,4,3.0,4.0,Yes,Morning,119,0
28,8.3,7,5,6.8,2,1,2.0,5.0,Yes,Morning,155,0
30,7.0,6,5,6.1,4,4,4.0,5.0,Yes,Morning,173,0
26,5.8,3,2,6.9,5,5,4.0,5.0,No,Morning,112,0
19,7.0,7,6,6.4,4,3,3.0,5.0,Yes,Morning,64,0
28,8.6,7,6,6.7,2,4,4.0,5.0,Yes,Morning,168,0
22,5.2,4,3,7.1,3,4,3.0,5.0,No,Morning,74,0
34,5.9,5,4,7.5,5,2,3.0,5.0,No,Morning,112,0
37,8.3,7,5,6.0,1,4,3.0,4.0,Yes,Morning,147,0
17,6.6,5,4,7.2,3,3,3.0,5.0,Yes,Morning,170,0
25,5.5,4,3,7.2,1,2,3.0,5.0,No,Morning,145,0
28,7.6,4,3,5.3,4,1,2.0,4.0,Yes,Morning,171,0
40,8.8,6,5,6.0,4,2,3.0,5.0,Yes,Morning,92,0
36,7.0,6,4,7.0,4,4,3.0,5.0,Yes,Morning,80,0
21,7.3,5,4,6.4,4,2,3.0,5.0,Yes,Morning,62,0
27,6.2,3,2,5.1,5,3,3.0,4.0,Yes,Morning,160,0
27,6.0,6,5,5.9,4,3,3.0,5.0,No,Morning,169,0
35,6.5,7,6,6.7,4,4,4.0,5.0,Yes,Morning,157,0
26,6.8,4,3,7.1,1,5,4.0,5.0,Yes,Morning,168,0
38,7.2,3,2,5.2,4,4,3.0,4.0,Yes,Morning,152,0
40,5.9,5,4,7.2,1,4,4.0,5.0,No,Morning,77,0
22,8.9,5,4,5.0,1,3,3.0,4.0,Yes,Morning,102,0
16,5.4,3,2,6.0,3,4,3.0,4.0,No,Morning,60,0
16,7.4,3,2,6.0,2,2,2.0,4.0,Yes,Morning,113,0
40,5.1,7,4,7.2,1,4,3.0,5.0,No,Morning,98,0
40,5.0,3,2,5.1,3,5,4.0,4.0,No,Morning,116,0
35,8.2,7,6,7.6,2,1,3.0,5.0,Yes,Morning,104,0
28,7.4,5,3,5.7,5,2,2.0,4.0,Yes,Morning,137,0
24,6.6,6,5,5.8,1,5,4.0,5.0,Yes,Morning,72,0
18,5.7,5,3,6.1,5,2,2.0,4.0,No,Morning,170,0
22,5.4,6,4,7.6,3,2,3.0,5.0,No,Morning,180,0
21,8.6,5,3,7.6,4,5,4.0,5.0,Yes,Morning,83,0
23,5.7,5,4,7.5,3,1,2.0,5.0,No,Morning,100,0
24,7.7,5,4,7.4,3,3,3.0,5.0,Yes,Morning,163,0
20,5.2,7,5,6.4,1,2,3.0,5.0,No,Morning,60,0
16,5.2,5,4,7.9,4,3,3.0,5.0,No,Morning,93,0
34,5.2,3,2,7.1,1,4,3.0,5.0,No,Morning,72,0
25,7.4,5,4,7.9,4,3,3.0,5.0,Yes,Morning,70,0
27,7.3,5,3,5.7,1,3,3.0,4.0,Yes,Morning,129,0
39,5.9,6,4,7.9,2,5,4.0,5.0,No,Morning,154,0
30,7.8,5,3,5.8,5,2,2.0,4.0,Yes,Morning,111,0
37,8.3,4,2,6.5,1,1,2.0,4.0,Yes,Morning,84,0
39,8.2,6,4,7.1,3,1,2.0,5.0,Yes,Morning,122,0
24,7.3,6,5,7.4,2,4,4.0,5.0,Yes,Morning,60,0
35,9.0,7,5,7.7,5,1,2.0,5.0,Yes,Morning,167,0
32,8.6,3,2,6.3,2,1,2.0,4.0,Yes,Morning,114,0
32,7.1,3,2,6.3,3,4,3.0,4.0,Yes,Morning,125,0
35,7.9,7,5,5.0,3,5,4.0,4.0,Yes,Morning,68,0
27,7.8,3,2,6.3,2,2,2.0,4.0,Yes,Morning,84,0
22,7.6,3,2,7.7,1,4,3.0,5.0,Yes,Morning,145,0
17,8.8,7,6,7.2,1,5,4.0,5.0,Yes,Morning,75,0
18,7.5,7,6,7.6,4,3,3.0,5.0,Yes,Morning,137,0
32,7.7,3,2,5.9,5,1,2.0,4.0,Yes,Morning,94,0
20,5.5,6,5,5.6,2,4,4.0,5.0,No,Morning,65,0
32,6.7,3,2,7.0,3,4,3.0,4.0,Yes,Morning,176,0
39,8.9,3,2,7.8,2,5,4.0,5.0,Yes,Morning,96,0
32,9.0,3,2,7.9,1,3,3.0,5.0,Yes,Morning,159,0
32,8.6,7,6,6.1,4,2,3.0,5.0,Yes,Morning,141,0
17,5.5,6,4,7.4,2,1,2.0,5.0,No,Morning,147,0
17,7.0,4,3,6.6,4,3,3.0,5.0,Yes,Morning,134,0
37,8.9,3,2,5.7,2,1,2.0,4.0,Yes,Morning,170,0
38,7.7,6,4,6.6,2,2,3.0,5.0,Yes,Morning,85,0
20,6.5,7,6,7.4,5,5,4.0,5.0,Yes,Morning,125,0
16,9.0,3,2,6.8,1,4,3.0,4.0,Yes,Morning,167,0
16,5.3,3,2,5.5,5,3,3.0,4.0,No,Morning,107,0
34,5.5,5,4,6.7,1,2,3.0,5.0,No,Morning,149,0
17,8.9,5,4,7.7,5,1,2.0,5.0,Yes,Morning,69,0
36,7.9,7,6,7.1,2,4,4.0,5.0,Yes,Morning,91,0
27,8.0,7,6,6.0,3,3,3.0,5.0,Yes,Morning,147,0
21,5.8,5,4,5.5,2,5,4.0,4.0,No,Morning,130,0
38,6.2,7,5,7.6,2,3,3.0,5.0,Yes,Morning,175,0
19,8.7,5,4,5.7,3,4,4.0,4.0,Yes,Morning,178,0
38,6.5,3,2,5.3,5,1,2.0,4.0,Yes,Morning,128,0
26,8.8,3,2,7.2,2,4,3.0,5.0,Yes,Morning,153,0
39,6.7,5,4,7.5,1,4,4.0,5.0,Yes,Morning,61,0
32,7.7,3,2,7.1,5,2,2.0,5.0,Yes,Morning,138,0
21,7.6,5,3,6.9,2,5,4.0,5.0,Yes,Morning,138,0
39,5.8,5,3,7.3,5,1,2.0,5.0,No,Morning,118,0
20,6.4,5,4,5.3,3,3,3.0,4.0,Yes,Morning,104,0
35,5.9,6,4,7.2,1,3,3.0,5.0,No,Morning,172,0
17,8.6,6,4,7.1,4,1,2.0,5.0,Yes,Morning,81,0
21,5.4,5,3,6.0,5,2,2.0,4.0,No,Morning,143,0
37,5.4,4,3,7.1,3,2,3.0,5.0,No,Morning,146,0
26,7.3,7,5,6.5,4,5,4.0,5.0,Yes,Morning,100,0
31,7.1,3,2,7.0,2,2,2.0,5.0,Yes,Morning,81,0
31,7.9,5,4,7.1,4,3,3.0,5.0,Yes,Morning,77,0
16,7.1,3,2,7.7,4,4,3.0,5.0,Yes,Morning,118,0
24,5.1,6,4,7.4,2,1,2.0,5.0,No,Morning,155,0
21,7.6,3,2,7.5,3,5,4.0,5.0,Yes,Morning,153,0
31,7.5,4,2,6.2,4,4,3.0,4.0,Yes,Morning,84,0
18,5.5,6,5,6.2,2,3,3.0,5.0,No,Morning,133,0
35,5.7,3,2,5.5,1,4,3.0,4.0,No,Morning,103,0
19,8.5,4,3,7.9,4,5,4.0,5.0,Yes,Morning,133,0
34,6.4,7,4,5.8,1,3,3.0,4.0,Yes,Morning,83,0
18,5.3,7,6,7.2,5,5,4.0,5.0,No,Morning,160,0
34,8.8,5,3,5.1,1,5,4.0,4.0,Yes,Morning,94,0
35,6.7,7,6,7.7,2,4,4.0,5.0,Yes,Morning,141,0
22,8.1,7,6,6.2,1,4,4.0,5.0,Yes,Morning,136,0
35,9.0,6,5,5.9,3,1,3.0,5.0,Yes,Morning,72,0
24,6.6,5,4,6.3,1,1,2.0,5.0,Yes,Morning,96,0
16,7.7,7,6,7.3,3,4,4.0,5.0,Yes,Morning,117,0
23,5.3,7,5,7.8,3,3,3.0,5.0,No,Morning,103,0
22,7.0,7,5,6.5,4,2,3.0,5.0,Yes,Morning,172,0
33,5.8,6,4,5.4,3,3,3.0,4.0,No,Morning,175,0
23,8.8,5,4,7.9,1,2,3.0,5.0,Yes,Morning,74,0
16,6.1,3,2,6.0,5,2,2.0,4.0,Yes,Morning,69,0
26,8.6,6,4,5.6,5,2,3.0,4.0,Yes,Morning,172,0
40,6.9,7,6,5.7,5,5,4.0,5.0,Yes,Morning,148,0
40,8.5,7,5,6.6,4,5,4.0,5.0,Yes,Morning,94,0
33,7.2,5,3,5.5,3,3,3.0,4.0,Yes,Morning,127,0
38,6.8,4,3,5.5,4,4,3.0,4.0,Yes,Morning,176,0
25,6.3,5,4,6.9,4,5,4.0,5.0,Yes,Morning,146,0
18,5.9,3,2,5.6,4,1,2.0,4.0,No,Morning,103,0
22,8.1,6,5,6.9,5,4,4.0,5.0,Yes,Morning,91,0
31,6.2,7,6,5.4,3,4,4.0,4.0,Yes,Morning,151,0
31,8.2,5,4,6.3,5,5,4.0,5.0,Yes,Morning,139,0
40,6.7,7,6,6.4,3,5,4.0,5.0,Yes,Morning,170,0
35,5.9,7,5,5.1,3,4,3.0,4.0,No,Morning,170,0
32,5.6,6,5,6.4,3,1,3.0,5.0,No,Morning,80,0
17,7.3,7,6,7.4,4,5,4.0,5.0,Yes,Morning,107,0
16,8.3,3,2,5.2,2,3,3.0,4.0,Yes,Morning,128,0
31,6.0,4,3,5.6,3,3,3.0,4.0,Yes,Morning,139,0
27,6.8,7,5,6.8,4,4,3.0,5.0,Yes,Morning,161,0
20,7.0,3,2,5.8,2,4,3.0,4.0,Yes,Morning,109,0
20,5.6,4,3,6.2,1,3,3.0,5.0,No,Morning,78,0
38,6.4,4,3,5.7,5,4,3.0,4.0,Yes,Morning,76,0
24,8.6,3,2,7.8,1,1,2.0,5.0,Yes,Morning,164,0
24,6.4,3,2,7.7,1,3,3.0,5.0,Yes,Morning,161,0
18,6.3,6,5,6.1,5,2,3.0,5.0,Yes,Morning,118,0
34,7.1,6,5,7.8,1,2,3.0,5.0,Yes,Morning,130,0
31,7.4,3,2,7.1,2,3,3.0,5.0,Yes,Morning,160,0
31,6.4,3,2,5.6,3,1,2.0,4.0,Yes,Morning,83,0
18,5.4,5,4,6.6,2,5,4.0,5.0,No,Morning,165,0
35,8.9,7,5,7.4,4,1,2.0,5.0,Yes,Morning,112,0
39,6.8,5,4,6.7,2,4,4.0,5.0,Yes,Morning,171,0
37,7.5,5,3,7.6,2,5,4.0,5.0,Yes,Morning,152,0
39,6.9,3,2,7.2,1,5,4.0,5.0,Yes,Morning,100,0
16,6.8,7,6,7.8,1,1,3.0,5.0,Yes,Morning,135,0
39,8.3,3,2,7.0,3,5,4.0,5.0,Yes,Morning,76,0
35,5.1,4,2,8.0,5,1,2.0,5.0,No,Morning,96,0
26,5.1,5,4,6.4,5,3,3.0,5.0,No,Morning,171,0
32,7.0,3,2,6.0,5,4,3.0,4.0,Yes,Morning,64,0
23,6.8,4,3,6.2,4,5,4.0,5.0,Yes,Morning,78,0
19,7.4,6,5,5.4,2,3,3.0,4.0,Yes,Morning,153,0
21,8.8,4,3,7.7,2,5,4.0,5.0,Yes,Morning,143,0
23,5.8,5,4,5.4,2,4,4.0,4.0,No,Morning,154,0
35,5.6,6,4,5.2,2,3,3.0,4.0,No,Morning,102,0
18,6.8,6,4,5.3,2,2,3.0,4.0,Yes,Morning,74,0
31,8.3,6,4,8.0,3,3,3.0,5.0,Yes,Morning,71,0
40,8.5,5,4,7.8,1,3,3.0,5.0,Yes,Morning,147,0
18,7.0,4,3,5.7,3,4,3.0,4.0,Yes,Morning,118,0
40,6.9,4,3,6.2,3,2,3.0,5.0,Yes,Morning,72,0
33,8.4,6,4,6.9,5,3,3.0,5.0,Yes,Morning,153,0
29,5.6,7,5,7.0,1,1,2.0,5.0,No,Morning,179,0
33,6.5,6,5,6.0,1,3,3.0,5.0,Yes,Morning,114,0
17,8.3,5,4,7.5,5,3,3.0,5.0,Yes,Morning,86,0
37,8.0,3,2,6.0,1,4,3.0,4.0,Yes,Morning,123,0
18,5.7,4,3,6.0,4,3,3.0,5.0,No,Morning,83,0
31,8.7,6,4,5.1,1,5,4.0,4.0,Yes,Morning,103,0
24,6.1,5,3,7.1,2,5,4.0,5.0,Yes,Morning,142,0
19,7.4,7,5,5.5,4,2,3.0,4.0,Yes,Morning,130,0
16,8.6,7,6,5.3,5,1,3.0,4.0,Yes,Morning,154,0
19,6.0,7,5,7.2,1,4,3.0,5.0,No,Morning,142,0
16,6.8,5,4,6.2,2,5,4.0,5.0,Yes,Morning,62,0
29,5.9,4,3,6.1,2,2,3.0,4.0,No,Morning,127,0
36,8.3,4,3,7.0,2,3,3.0,5.0,Yes,Morning,67,0
31,5.9,4,3,7.0,4,1,2.0,5.0,No,Morning,107,0
35,8.2,5,4,5.3,1,5,4.0,4.0,Yes,Morning,89,0
39,6.2,6,4,5.2,5,2,3.0,4.0,Yes,Morning,174,0
23,5.9,6,5,7.4,5,5,4.0,5.0,No,Morning,103,0
22,5.6,5,4,7.0,4,3,3.0,5.0,No,Morning,122,0
18,8.7,7,6,6.9,5,1,3.0,5.0,Yes,Morning,63,0
32,7.9,5,3,6.8,1,5,4.0,5.0,Yes,Morning,90,0
16,6.0,7,5,6.7,3,3,3.0,5.0,No,Morning,107,0
31,5.1,4,3,7.1,2,1,2.0,5.0,No,Morning,174,0
27,8.3,3,2,6.2,1,2,2.0,4.0,Yes,Morning,74,0
34,5.5,3,2,5.6,1,3,3.0,4.0,No,Morning,159,0
37,8.7,5,4,5.9,3,3,3.0,4.0,Yes,Morning,145,0
38,8.6,3,2,6.9,4,2,2.0,4.0,Yes,Morning,171,0
37,5.7,7,5,6.1,2,5,4.0,5.0,No,Morning,77,0
29,8.6,7,6,7.6,2,3,3.0,5.0,Yes,Morning,171,0
21,5.3,3,2,6.9,4,4,3.0,5.0,No,Morning,62,0
21,7.2,6,5,5.8,4,5,4.0,5.0,Yes,Morning,105,0
28,8.3,3,2,5.7,4,4,3.0,4.0,Yes,Morning,175,0
34,7.0,7,5,6.7,2,4,3.0,5.0,Yes,Morning,168,0
37,7.6,6,4,6.7,3,2,3.0,4.0,Yes,Morning,175,0
23,8.4,5,3,6.6,2,4,3.0,4.0,Yes,Morning,140,0
17,7.0,3,2,5.1,2,4,3.0,4.0,Yes,Morning,76,0
36,6.5,7,5,5.3,1,3,3.0,4.0,Yes,Morning,145,0
16,5.3,5,3,7.5,3,4,3.0,5.0,No,Morning,85,0
30,7.0,4,3,7.3,1,5,4.0,5.0,Yes,Morning,89,0
16,6.6,7,6,5.9,1,4,4.0,5.0,Yes,Morning,158,0
20,7.0,5,3,5.4,4,1,2.0,4.0,Yes,Morning,106,0
31,8.6,3,2,7.2,5,5,4.0,5.0,Yes,Morning,92,0
34,6.1,5,4,7.2,2,3,3.0,5.0,Yes,Morning,73,0
19,8.5,7,5,5.4,1,4,3.0,4.0,Yes,Morning,82,0
18,5.0,5,4,7.5,3,5,4.0,5.0,No,Morning,96,0
32,5.4,5,4,7.0,4,3,3.0,5.0,No,Morning,82,0
32,6.1,7,5,6.2,5,2,3.0,5.0,Yes,Morning,131,0
27,5.4,5,4,5.4,3,3,3.0,4.0,No,Morning,171,0
29,5.7,4,3,7.5,5,2,3.0,5.0,No,Morning,149,0
36,5.1,3,2,7.2,5,4,3.0,5.0,No,Morning,95,0
21,7.3,7,6,6.6,1,4,4.0,5.0,Yes,Morning,108,0
18,7.1,3,2,5.3,1,2,2.0,4.0,Yes,Morning,67,0
24,6.1,7,6,5.4,4,3,3.0,5.0,Yes,Morning,142,0
20,7.0,3,2,6.8,2,1,2.0,4.0,Yes,Morning,161,0
39,6.2,7,6,8.0,3,2,3.0,5.0,Yes,Morning,122,0
32,8.2,6,5,5.6,4,2,3.0,5.0,Yes,Morning,74,0
29,5.6,5,4,6.8,3,2,3.0,5.0,No,Morning,86,0
36,8.2,7,5,6.2,3,1,2.0,5.0,Yes,Morning,139,0
18,7.3,4,3,7.6,2,2,3.0,5.0,Yes,Morning,110,0
